Pole ID (New),Coordinate (Lat) NEW,Coordinate (Long) NEW,Pole Provider (New),Pole Type,FAT ID/NETWORK ID
2A,-7.938872,112.632601,LN (Existing),Pole 7/250,FMS155S01A01
4A,-7.938623,112.632073,LN (Existing),Pole 7/250,FMS155S01A02
6A,-7.938258,112.631356,LN (Existing),Pole 7/250,FMS155S01A03
7A,-7.938643,112.632767,LN (Existing),Pole 7/250,FMS155S01B01
9A,-7.938273,112.63292,LN (Existing),Pole 7/250,FMS155S01B02
11A,-7.938126,112.632381,LN (Existing),Pole 7/250,FMS155S01B03
11A,-7.938126,112.632381,LN (Existing),Pole 7/250,FMS155S01B04
13A,-7.937731,112.63164,LN (Existing),Pole 7/250,FMS155S01B05
14A,-7.937595,112.631398,LN (Existing),Pole 7/250,FMS155S02B06
16A,-7.937217,112.631431,LN (Existing),Pole 7/250,FMS155S02B07
1A,-7.939069,112.632921,LN (Existing),Pole 7/250,FMS15500
