Pole ID (New),Coordinate (Lat) NEW,Coordinate (Long) NEW,Pole Provider (New),Pole Type,LINE
1A,-7.574091,110.780751,LN (Existing),Pole 7/250,LINE A
2A,-7.574364,110.780654,LN (Existing),Pole 7/250,LINE B
3A,-7.574134,110.780948,LN (Existing),Pole 7/250,LINE A
4A,-7.574215,110.781325,LN (Existing),Pole 7/250,LINE A
5A,-7.574257,110.781668,LN (Existing),Pole 7/250,LINE A
6A,-7.574294,110.781966,LN (Existing),Pole 7/250,LINE A
7A,-7.57433,110.782312,LN (Existing),Pole 7/250,LINE A
8A,-7.574368,110.782642,LN (Existing),Pole 7/250,LINE A
10A,-7.574455,110.783177,LN (Existing),Pole 7/250,LINE A
11A,-7.574784,110.783068,LN (Existing),Pole 7/250,LINE A
12A,-7.574714,110.780609,LN (Existing),Pole 7/250,-
13A,-7.574657,110.780446,LN (Existing),Pole 7/250,-
14A,-7.574449,110.780312,LN (Existing),Pole 7/250,-
